Case_ID;57b428a6cef25a0a0d6681ac;;;;;;;;;;;;;;;;;;;;;;;;;;
Variant_ID;57b43118cef25a0a0d6681b1;;;;;;;;;;;;;;;;;;;;;;;;;;
Type;Buildings;;;;;;;;;;;;;;;;;;;;;;;;;;
building_ID;street_name;zip_code;footprint_area;building_type;amount_of_units;function;building_year;average_height(m);levels;building_style;roof_material;window_overall_ratio;EPCscore;heating_system;glazing_type;ventilation_type;wall_U;window_U;roof_U;occupants;heated_floor_area(m2);rent_per_month(euro);cost_electricity(euro/year);cost_district_heating(euro/year);cost_natural_gas(euro/year);cost_other_fuel(euro/year);operating_and_maintenance_costs(euro/year)
24F;Sint-Bernardsesteenweg;2020;159,38;SFH terraced;1;residential;1923;14,94;4;brick;;0,25;;gas;single;A;2,2;5;1,7;;;;;;;;
24H;Sint-Bernardsesteenweg;2020;154,31;SFH terraced;1;residential;1923;16,33;4;brick;;0,25;;gas;single;A;2,2;5;1,7;;;;;;;;
24M;Jan Davidlei;2020;135,85;MFH terraced;4;residential;1923;16,58;5;brick;bitumen, 100 mm MW;0,21;;gas;double;A;2,703;2,8;0,444;;;;;;;;
24Q;Jan Davidlei;2020;145,57;MFH terraced;4;residential;1923;19,11;5;brick;bitumen, 100 mm MW;0,21;;gas;double;A;2,703;2,8;0,444;;;;;;;;
22H;Jan Davidlei;2020;74,07;MFH terraced;5;residential;1937;22,15;6;brick;;0,21;;gas;;A;;0;;;;;;;;;
24L;Sint-Bernardsesteenweg;2020;106,41;MFH terraced;5;residential;1923;16,16;5;brick;bitumen, 100 mm MW;0,21;;gas;double;A;2,703;2,8;0,444;;;;;;;;
22L;Hendriklei;2020;87,41;MFH terraced;6;residential;1937;24,66;7;brick;;0,00;;gas;;A;;0;;;;;;;;;
24J;Sint-Bernardsesteenweg;2020;193,67;MFH terraced;7;residential;1923;17,12;5;brick;bitumen, 100 mm MW;0,42;188;gas;double;A;0,855;2,7;0,444;;;;;;;;
22C;Max Roosesstraat;2020;209,31;MFH terraced;8;residential;1937;19,01;5;brick;;0,00;;gas;;A;;0;;;;;;;;;
22P;Van Peenestraat;2020;221,24;MFH terraced;8;residential;1937;19,23;5;brick;;0,00;;gas;;A;;0;;;;;;;;;
22M;Hendriklei;2020;87,39;MFH terraced;8;residential;1937;22,54;6;brick;;0,00;;gas;;A;;0;;;;;;;;;
25I;Jan Davidlei;2020;113,93;MFH terraced;8;residential;1926;22,06;6;brick;bitumen;0,36;143;gas;HR;A;0,6225;1,1;0,444;;;;;;;;
22E;Maurits Sabbelaan;2020;167,28;MFH terraced;9;residential;1937;22,49;6;brick;;0,00;;gas;;A;;0;;;;;;;;;
22F;Maurits Sabbelaan;2020;74,73;MFH terraced;9;residential;1937;22,55;6;brick;;0,00;;gas;;A;;0;;;;;;;;;
25B;Jan Davidlei;2020;146,20;MFH terraced;9;residential;1926;22,15;6;brick;;;;gas;;A;;;;;;;;;;;
25H;Jan Davidlei;2020;161,97;MFH terraced;9;residential;1926;21,49;6;brick;;;;gas;;A;;;;;;;;;;;
25R;Max Roosesstraat;2020;156,38;MFH terraced;9;residential;1926;21,48;6;brick;;;;gas;;A;;;;;;;;;;;
25S;Max Roosesstraat;2020;157,51;MFH terraced;9;residential;1926;21,50;6;brick;;;;gas;;A;;;;;;;;;;;
25T;Van Peenestraat;2020;139,53;MFH terraced;9;residential;1926;22,02;6;brick;;;;gas;;A;;;;;;;;;;;
25U;Van Peenestraat;2020;162,48;MFH terraced;9;residential;1926;21,42;6;brick;;;;gas;;A;;;;;;;;;;;
